"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.09765825334257e-14,1.80130956182618,0.395,0.124,5.27120542482455e-10,"28","Tubgcp2"
2.45993815395828e-14,1.30350417689025,0.616,0.273,6.18157858708175e-10,"28","Oxct1"
3.12860531209639e-14,2.59610930391065,0.271,0.046,7.86187228876701e-10,"28","Spata17"
3.24646228823654e-14,0.944237208313947,0.744,0.43,8.1580350841096e-10,"28","Sys1"
3.30156815519477e-14,1.76368507156597,0.404,0.085,8.29651061718895e-10,"28","Tacstd2"
3.51579250456037e-14,1.83598867210833,0.353,0.108,8.83483498470975e-10,"28","Nek10"
3.65560804826101e-14,2.39403192936142,0.306,0.06,9.1861774644751e-10,"28","Spag1"
4.17815983294947e-14,2.55466334848664,0.356,0.07,1.04992978442187e-09,"28","Cfap47"
4.493475751579e-14,2.17353333676043,0.3,0.065,1.12916552161429e-09,"28","Pde4d"
6.04814352455414e-14,3.20610342516389,0.317,0.039,1.51983798628521e-09,"28","Tcp11"
6.07641312743874e-14,1.73202199302186,0.285,0.075,1.52694185479408e-09,"28","Ppp1r12b"
6.24503765695125e-14,2.37564772268375,0.307,0.063,1.56931551281528e-09,"28","Ccdc171"
6.26023797820025e-14,1.80736060363722,0.319,0.08,1.57313520154194e-09,"28","Meis1"
7.43603482680264e-14,0.783998395997113,0.873,0.604,1.86860119162724e-09,"28","Ndufc1"
8.22702731185831e-14,1.55697809243011,0.465,0.114,2.06736969319687e-09,"28","Aox3"
8.7328267633798e-14,1.15199309410776,0.65,0.327,2.19447203736971e-09,"28","Hras"
8.77964481609914e-14,1.76855200585027,0.361,0.076,2.20623694583755e-09,"28","Lrrc26"
9.02034570692253e-14,0.687841211738491,0.404,0.156,2.26672267269256e-09,"28","Ephx1"
9.18055256355468e-14,0.87096375578034,0.923,0.705,2.30698105369566e-09,"28","Uqcr11"
9.31470407424144e-14,2.91555411073428,0.276,0.039,2.34069198681613e-09,"28","Cfap61"
1.08566414522611e-13,1.28574992780666,0.489,0.211,2.7281654305387e-09,"28","4632427E13Rik"
1.12233805120411e-13,1.13790541997353,0.694,0.359,2.82032328887081e-09,"28","Mrpl14"
1.14259739780554e-13,1.70602212914468,0.37,0.089,2.87123300094554e-09,"28","Gramd3"
1.22538257807627e-13,1.85537445394786,0.347,0.094,3.07926388044785e-09,"28","Krtcap3"
1.33111435582865e-13,2.44994997243064,0.264,0.043,3.34495726476181e-09,"28","Nrtn"
1.34661181441532e-13,1.65895323587244,0.273,0.059,3.38390082844426e-09,"28","Pdzk1ip1"
1.37901188758761e-13,1.28063071769877,0.647,0.328,3.46531897231889e-09,"28","Cops5"
1.47713335222855e-13,1.60959243953948,0.421,0.139,3.71188840081513e-09,"28","Fam149a"
1.55988742459303e-13,1.23190387025357,0.498,0.199,3.91984110925984e-09,"28","Wdr35"
1.60417159613002e-13,1.96745154881345,0.31,0.073,4.03112280391514e-09,"28","Smad5"
1.61157908085052e-13,1.07026758173026,0.727,0.426,4.04973707226926e-09,"28","Pcm1"
1.88092581190545e-13,1.46768314636729,0.361,0.125,4.72657847273721e-09,"28","Fsip1"
1.89665832828104e-13,1.43789143525566,0.479,0.176,4.76611271313743e-09,"28","Atp13a3"
2.00743001955918e-13,0.853875749149811,0.711,0.419,5.04447089615025e-09,"28","Fkbp1a"
2.02309550972254e-13,0.775957457971974,0.786,0.375,5.08383670638178e-09,"28","Vamp8"
2.04860802297325e-13,1.4649326108888,0.43,0.141,5.14794710092949e-09,"28","Entpd5"
2.07535674899275e-13,2.81395674559344,0.329,0.046,5.21516397454387e-09,"28","Tjp3"
2.30184448937247e-13,1.15537996144552,0.55,0.268,5.78430501734408e-09,"28","Syne2"
2.41737148031686e-13,1.25395235435139,0.39,0.147,6.07461279288824e-09,"28","Itpr1"
2.46763248927914e-13,1.15898598742266,0.578,0.239,6.20091368230956e-09,"28","Dzip1l"
2.51003249857072e-13,1.48435446235056,0.445,0.161,6.30746066565836e-09,"28","Ift122"
2.51063965169975e-13,1.43984704794583,0.38,0.145,6.3089863807563e-09,"28","Clba1"
2.56527533603466e-13,1.64477833290254,0.292,0.091,6.44628039192149e-09,"28","D3Ertd751e"
2.65857521101807e-13,2.63890731115996,0.277,0.041,6.6807336477673e-09,"28","Nqo2"
2.94779690789568e-13,0.704301676911421,0.897,0.726,7.40751884985106e-09,"28","Atp5md"
2.95744992500626e-13,1.18594346666499,0.612,0.28,7.43177591654822e-09,"28","Ptov1"
3.15722558793087e-13,1.58370652095694,0.384,0.127,7.93379217991149e-09,"28","Trnau1ap"
3.17307283803016e-13,1.26009680718365,0.564,0.267,7.97361473468598e-09,"28","Stip1"
3.21271031332742e-13,1.94403609526627,0.359,0.099,8.07321974636048e-09,"28","2210408I21Rik"
3.53008573624371e-13,1.78666188303879,0.368,0.09,8.87075244660682e-09,"28","Slc1a5"
3.88423706969759e-13,1.71460641040965,0.405,0.129,9.76069933244306e-09,"28","2010204K13Rik"
3.94656907946527e-13,1.73412438383046,0.349,0.08,9.91733343978827e-09,"28","Cav2"
4.29496835884999e-13,1.42894306255303,0.36,0.102,1.07928259889542e-08,"28","Myo1b"
4.33385932077383e-13,0.515397472445056,0.975,0.917,1.08905550871725e-08,"28","Atp5e"
4.34915589794948e-13,0.718571040441252,0.896,0.636,1.09289938559573e-08,"28","Anxa5"
4.81528549127845e-13,0.59463740691726,0.766,0.42,1.21003309110336e-08,"28","Atp6v0e"
5.29066223739708e-13,0.637719803398485,0.896,0.656,1.32949051363551e-08,"28","Sec61b"
5.68292200689522e-13,0.771418904782824,0.857,0.615,1.4280614711127e-08,"28","Vdac2"
5.91224886896306e-13,1.0868927761355,0.68,0.398,1.48568901828173e-08,"28","Kcnq1ot1"
5.97705918922309e-13,1.52923919636389,0.4,0.122,1.50197520365987e-08,"28","Slc31a1"
6.0551055078205e-13,2.16626133403952,0.541,0.141,1.52158746306021e-08,"28","Slc25a17"
6.13781454781444e-13,2.0953326820598,0.312,0.078,1.54237141772029e-08,"28","Lrwd1"
6.15123138385192e-13,1.34181990344127,0.464,0.181,1.54574293444815e-08,"28","Mdm2"
6.91237786617129e-13,1.23824197069044,0.616,0.284,1.73701143399018e-08,"28","Man1a2"
7.0905343623737e-13,0.535711500150283,0.75,0.392,1.78178037992089e-08,"28","Nedd4"
8.89708734694829e-13,2.31990974197766,0.313,0.061,2.23574907941464e-08,"28","Cmss1"
9.47457474195232e-13,2.12644504316791,0.258,0.059,2.3808658869052e-08,"28","Bspry"
9.69403088037256e-13,2.56302537828111,0.306,0.058,2.43601301992882e-08,"28","Syt5"
9.79060166475077e-13,2.72875371242466,0.256,0.039,2.46028029233522e-08,"28","Prrg4"
1.16997945354063e-12,1.11699369140609,0.495,0.222,2.94004136880225e-08,"28","Npepps"
1.17976821170215e-12,2.35500909277526,0.315,0.07,2.96463953918634e-08,"28","Gstp1"
1.20905757575246e-12,1.28124520481483,0.586,0.256,3.03824078210837e-08,"28","Bola3"
1.4710305547463e-12,0.719451938664168,0.743,0.492,3.69655268102197e-08,"28","Wnk1"
1.50903984361483e-12,2.01725966016933,0.325,0.093,3.7920662230197e-08,"28","Slc39a6"
1.5167552885934e-12,1.56134364445783,0.328,0.11,3.81145436470634e-08,"28","Ccdc148"
1.58551042166125e-12,2.20351365012008,0.293,0.063,3.98422913859256e-08,"28","Slc44a4"
1.5886922575176e-12,1.89662613387707,0.374,0.115,3.99222477391599e-08,"28","Baiap2l1"
1.589644083686e-12,1.76855902078256,0.362,0.11,3.99461661789455e-08,"28","Lekr1"
1.60358101473978e-12,1.8054719519434,0.338,0.092,4.02963873193959e-08,"28","Ildr1"
1.70115608141954e-12,2.17950727823097,0.334,0.08,4.27483511699916e-08,"28","Shank2"
1.7416467934159e-12,0.887556731982472,0.701,0.352,4.37658422717483e-08,"28","Tkt"
1.8196234930754e-12,0.8932591538365,0.903,0.629,4.57253187574917e-08,"28","Rps27l"
1.83042947656032e-12,0.896978928911298,0.609,0.318,4.59968623164842e-08,"28","Cyfip2"
1.87080246130623e-12,1.55824402786511,0.321,0.108,4.70113950501643e-08,"28","Haghl"
2.17176605628591e-12,1.77685256153152,0.269,0.082,5.45743092284086e-08,"28","Fbxl2"
2.20143195313469e-12,1.32001127565072,0.402,0.154,5.53197835503216e-08,"28","Spice1"
2.25186397106569e-12,1.05287069989299,0.4,0.188,5.65870897289096e-08,"28","Washc3"
2.26070463421616e-12,0.886868745797127,0.876,0.59,5.68092467532178e-08,"28","Ndufa11"
2.42785019752783e-12,1.81410717842258,0.313,0.088,6.10094476136769e-08,"28","Vwa3b"
2.46127712065202e-12,1.54177006573157,0.498,0.162,6.18494327648647e-08,"28","Dnajb13"
2.48994713502556e-12,1.32342899576242,0.568,0.238,6.25698815560572e-08,"28","Naxe"
2.5247015600933e-12,3.03939001036712,0.259,0.036,6.34432255035845e-08,"28","Ribc2"
2.58977056428998e-12,0.840762036529821,0.925,0.763,6.5078344510043e-08,"28","Txn1"
2.78440477947897e-12,0.974694004439387,0.496,0.237,6.99693077035271e-08,"28","Nucb2"
2.96085248013816e-12,3.48276873373334,0.268,0.019,7.44032619733918e-08,"28","Car8"
3.04918997389033e-12,1.05238926134668,0.527,0.211,7.66230948538902e-08,"28","Cdc42ep3"
3.06436476965943e-12,1.06125495778829,0.583,0.28,7.70044222967718e-08,"28","Sec14l1"
3.11739967288414e-12,0.925451987015823,0.716,0.396,7.83371363799056e-08,"28","Ctnna1"
3.14320702272898e-12,1.06353307751054,0.607,0.267,7.89856492741564e-08,"28","Cyb5r3"
3.37167567809432e-12,0.807609223865199,0.638,0.368,8.47268381148321e-08,"28","Aco2"
3.47074381554963e-12,1.85118941449099,0.38,0.097,8.72163213409468e-08,"28","Sord"
3.94478950870297e-12,1.09437789651668,0.563,0.259,9.91286155641969e-08,"28","Eif1a"
4.08077511050075e-12,1.45301316232071,0.493,0.186,1.02545797751773e-07,"28","Irak1bp1"
4.08285854692267e-12,2.16101279352319,0.277,0.06,1.0259815242562e-07,"28","Fuz"
4.24204781620117e-12,1.06555463936304,0.46,0.212,1.06598419573319e-07,"28","Pdia4"
4.51925504107073e-12,0.566856132421254,0.572,0.26,1.13564359927066e-07,"28","Gsr"
4.56778108590099e-12,0.725674546208901,0.982,0.934,1.14783770907606e-07,"28","Cox6c"
4.58107404689719e-12,1.31621777778326,0.477,0.206,1.15117809724479e-07,"28","Dgcr6"
4.95810658380085e-12,1.67459667810646,0.312,0.098,1.24592260344331e-07,"28","1700030J22Rik"
5.12675551194858e-12,1.40867109790673,0.422,0.128,1.28830239259756e-07,"28","Rbm47"
5.24284727696259e-12,2.32247747664667,0.321,0.059,1.31747509222793e-07,"28","Acer2"
5.51206419902119e-12,0.986326675170064,0.408,0.194,1.38512661257204e-07,"28","Mrps28"
5.64720190717356e-12,1.78290198068069,0.318,0.077,1.41908536725364e-07,"28","Trib2"
5.66109526354597e-12,0.830405207060995,0.86,0.571,1.42257662877647e-07,"28","Tbca"
5.76500542350761e-12,1.3775617331672,0.487,0.199,1.44868821287323e-07,"28","Slain2"
6.36641759385022e-12,1.59034074368304,0.396,0.135,1.59981707715862e-07,"28","Hdgfl2"
6.68454746968313e-12,0.738775463908923,0.902,0.688,1.67975993365667e-07,"28","Ndufc2"
7.01304099925899e-12,1.05288301861406,0.735,0.388,1.76230707270379e-07,"28","Sri"
