"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Uchl3",14.7827302055672,-0.229351774624118,0.5774015567605,-0.39721364090338,0.691209923927322,0.840445864403005
"Rrm2b",11.3237831122525,-0.263852277172815,0.664638699418989,-0.396986027752324,0.691377764068928,0.840445864403005
"Zfp710",27.1754261704622,0.173128129886332,0.436517287218224,0.396612310567626,0.691653373062924,0.840495910272993
"Aup1",27.1955143347979,-0.169842980913005,0.430136041728273,-0.394858752664812,0.692947132206024,0.84124144649357
"Golga4",19.3801183752159,0.212163684302372,0.537272149847205,0.394890530549013,0.692923678788088,0.84124144649357
"Zmat2",29.7400835283878,-0.166217058682803,0.420710702826213,-0.395086356411198,0.692779157543684,0.84124144649357
"Elf2",26.4609821281738,0.166408640514219,0.423904946917073,0.392561213839226,0.694643591244472,0.843025097650308
"Cbx3",29.3469500354793,0.162938528473274,0.415692860122753,0.391968552034208,0.695081450134746,0.843280634401539
"Fam192a",18.0861007032215,-0.211859331230319,0.542469347226972,-0.390546179822536,0.696132714358066,0.843728314364073
"Stx8",13.6261649012679,0.264015260590757,0.675928722745609,0.3905963035841,0.696095658335971,0.843728314364073
"Spata13",70.412960779317,-0.114476385129186,0.293044431124595,-0.39064514787013,0.696059548915957,0.843728314364073
"Mpp1",14.0049161522831,0.22390611997787,0.575349807976417,0.389165194588972,0.697153948698498,0.844690120728749
"Chmp5",47.2363238709838,0.12524609197388,0.322880118424667,0.387902768943955,0.698087988945081,0.844993944204323
"Ibtk",15.5356128502239,-0.251334315738579,0.64734876120932,-0.388251790687077,0.697829709820855,0.844993944204323
"Alas1",40.1253433229128,-0.137372700664484,0.354133604044324,-0.387912073566703,0.69808110298953,0.844993944204323
"Cxcl10",28.3203031305625,-0.446648632472447,1.15419684755674,-0.386977865533021,0.698772594560675,0.845477783806649
"Dguok",13.8890775014199,0.240870742069195,0.623245349027293,0.386478202276399,0.699142543034932,0.845477783806649
"Kif5b",183.301915960819,0.066212621578292,0.171352638681191,0.386411450024319,0.699191971520113,0.845477783806649
"Tmx3",25.4860524337697,-0.168022917468673,0.435144283079635,-0.386131506266218,0.699399277224422,0.845477783806649
"Sirpa",57.8812229769304,0.118164741812016,0.306879331033479,0.385052787406933,0.700198306294997,0.84561709516746
"Zcchc17",22.8776354725649,-0.176942980354657,0.459525637988754,-0.385055730794693,0.70019612561561,0.84561709516746
"Srebf2",12.3905829277512,-0.27754104599385,0.720686799135085,-0.385106326807892,0.700158640732654,0.84561709516746
"Tprgl",33.8638401023139,0.159824597035405,0.416255020186547,0.383958365147833,0.701009306430733,0.846318276300505
"Cuta",33.7249075347351,-0.148423311224191,0.386867939574752,-0.383653686545694,0.701235143220418,0.846318276300505
"Cdc26",19.0538836562349,-0.190962211579816,0.498317847510406,-0.383213670820467,0.701561342477577,0.846436611574572
"Vamp4",13.7502777090363,-0.225269046473225,0.590413014391964,-0.381544852471144,0.702798996164419,0.847654185881012
"Tagln2",38.3678024663238,-0.15237081763103,0.402010482062355,-0.379022001738242,0.704671525650906,0.847707963736985
"Capzb",166.1695328289,0.0717687279902437,0.189020722069377,0.379687090412775,0.704177704172222,0.847707963736985
"Ntpcr",14.7044042524426,-0.2466017781796,0.649519183400836,-0.379668198387014,0.704191729586733,0.847707963736985
"Spag7",12.9427405647211,0.252414974504481,0.66324414212988,0.380576259134229,0.703517700380849,0.847707963736985
"Ap3b1",14.8836989488963,0.214136940735699,0.564864065399503,0.379094642149435,0.704617584835397,0.847707963736985
"Psmd2",27.7026126750057,-0.164473179193388,0.433008127551366,-0.379838549736868,0.704065264610534,0.847707963736985
"Lpin2",36.0298140528806,0.136569426759523,0.358705432369545,0.380728626988918,0.703404624602469,0.847707963736985
"Matr3",20.640544279053,-0.187388142934268,0.494354032828518,-0.379056567743769,0.704645857679716,0.847707963736985
"Polr2f",35.2082967734144,-0.150776227552681,0.398946241177579,-0.377936202902004,0.70547798753817,0.848355842141921
"Pgp",23.3325359634088,0.178756271629464,0.473487707374774,0.377530966158696,0.705779056322722,0.848355842141921
"Plgrkt",22.3074929442456,0.182201296779525,0.482814284190771,0.377373459621035,0.705896087518089,0.848355842141921
"Pdhb",13.2409829916787,-0.227449088721956,0.603621563730517,-0.376807427680797,0.7063167204437,0.848586474367269
"Bag6",11.4923578906314,0.240044673913703,0.639468773180551,0.375381385270439,0.707376846832412,0.849585011896487
"Tfeb",12.2496625971435,0.230342119290578,0.615615400513465,0.374165622072575,0.708281099037901,0.850205919575821
"B3gat3",12.9917754062085,-0.231962437932264,0.620104177220315,-0.374070110238672,0.708352155635812,0.850205919575821
"Lair1",21.3675106002992,-0.19575891788963,0.526100250189783,-0.372094325784892,0.709822620886706,0.851448305234752
"Napsa",14.9001398554643,0.217880450305314,0.585601620275789,0.37206258104734,0.709846255550159,0.851448305234752
"Uvrag",26.9360889984259,0.158046235748223,0.427632435872244,0.369584302991085,0.711692248655066,0.85338663300268
"Strap",19.6230935375238,-0.202835417191435,0.551392689737496,-0.367860185611092,0.712977489012423,0.853423522051079
"Csnk2a2",13.9098693362688,0.217911320424762,0.591110846214293,0.368647135846604,0.712390756952458,0.853423522051079
"Azi2",26.2066183207255,-0.172342800148275,0.468715643918315,-0.367691589526527,0.71310321249551,0.853423522051079
"Dnmt3a",13.5398548314259,-0.210889868963266,0.571496577882509,-0.369013353928817,0.712117771153122,0.853423522051079
"Pxk",19.7202420521528,0.184943122840915,0.501841669594184,0.368528829003917,0.71247895296102,0.853423522051079
"Rps6ka3",13.5233568522064,0.226394817955311,0.615372572658928,0.3678987787465,0.71294871089139,0.853423522051079
"Dhx9",27.0631572062592,-0.160724376343044,0.438012081410179,-0.366940509553052,0.713663393650408,0.853818507076109
"Sft2d2",31.7308298414771,0.142761528727016,0.390734366912579,0.36536721828453,0.714837308286188,0.854890329428349
"Rbm27",29.1790772016414,0.152839732231244,0.418598759745998,0.365122276817031,0.715020132672821,0.854890329428349
"Hist1h2bc",75.9348833363932,0.0924421776036021,0.253864726826743,0.364139511459943,0.71575383335743,0.855491856235846
"Rbm47",27.5774939685695,-0.15748418828471,0.433519651945628,-0.36326885662028,0.716404055375605,0.855993251350562
"Fxyd5",740.411265419388,-0.0386709910523309,0.106558118947674,-0.362909850832865,0.716672227817256,0.856004968791836
"St3gal1",12.133872995582,0.227104270149731,0.626256129769836,0.362637999620375,0.7168753202254,0.856004968791836
"Ifih1",25.9725520548975,0.186589458054827,0.516373462530999,0.361345947447145,0.717840849630996,0.856814468781769
"Mef2a",85.1347441362048,0.0874674603093561,0.24223386576421,0.36108683661308,0.718034533231981,0.856814468781769
"U2surp",43.3781919967499,-0.141546490494437,0.392308712718326,-0.360803841224058,0.718246091081213,0.856814468781769
"Smim15",17.75003396527,0.209364222776888,0.583031826467934,0.359095701593578,0.719523497089237,0.858062415365178
"Ccndbp1",16.6301329181632,0.209500771403993,0.586668346790224,0.357102564933343,0.721015024372683,0.859546521045995
"Rasgrp2",15.2742517508448,0.211883068384687,0.593820043507537,0.356813601530103,0.721231353104092,0.859546521045995
"4632427E13Rik",16.4792689272633,0.195510376969395,0.549032242741377,0.35609999149265,0.721765683599111,0.859631038893323
"Exoc3",27.2893920723602,0.154035876830488,0.432348366198597,0.356277226591236,0.721632962413974,0.859631038893323
"Bcor",19.4419015844147,-0.193657619836549,0.545904674810152,-0.354746219940133,0.722779721445584,0.860562505315506
"Adam10",25.7313189449224,-0.159811706260295,0.451618990425184,-0.353864008486087,0.723440801096425,0.860797104575926
"Nfatc1",32.1031780315991,-0.141571413562142,0.40003382939021,-0.353898603470476,0.723414873669329,0.860797104575926
"Dnajc13",13.1103037329947,0.224323758582905,0.638264507781357,0.35145892627285,0.725244081528142,0.862389596945322
"Mier3",15.7425151889259,0.195773086804074,0.55671313092483,0.351658827372815,0.72509414162501,0.862389596945322
"Dctpp1",20.4382807935602,0.179860616135524,0.512901205760708,0.350673022631648,0.725833666679684,0.862415503266847
"Tgfbr2",25.8535370173575,-0.16021057451797,0.456929161022489,-0.350624534795417,0.725870047594954,0.862415503266847
"Hmg20b",20.1495919642082,-0.17970992636941,0.512723979338227,-0.35050033470516,0.725963239003333,0.862415503266847
"Ap3d1",24.5726614665484,0.155899468151729,0.445819060874263,0.349692244755093,0.726569674454378,0.862595980505031
"Slc39a7",13.3175655604759,0.222659979712295,0.636756717062228,0.349678258188731,0.726580172258281,0.862595980505031
